LGA_NAME16	Year	NonSchoolQualification	persons
Carrathool (A)	2006	Certificate I and II Level	28
Carrathool (A)	2006	Certificate III and IV Level	264
Carrathool (A)	2006	Advanced Diploma and Diploma	97
Carrathool (A)	2006	Bachelor	126
Carrathool (A)	2006	Graduate Diploma and Graduate Certificate	15
Carrathool (A)	2006	Postgraduate	8
Carrathool (A)	2011		1931
Carrathool (A)	2011	Certificate nfd	27
Carrathool (A)	2011	Certificate I and II Level	28
Carrathool (A)	2011	Certificate III and IV Level	322
Carrathool (A)	2011	Advanced Diploma and Diploma	111
Carrathool (A)	2011	Bachelor	138
Carrathool (A)	2011	Graduate Diploma and Graduate Certificate	18
Carrathool (A)	2011	Postgraduate	10
Carrathool (A)	2016		1948
Carrathool (A)	2016	Certificate nfd	44
Carrathool (A)	2016	Certificate I and II Level	28
Carrathool (A)	2016	Certificate III and IV Level	342
Carrathool (A)	2016	Advanced Diploma and Diploma	139
Carrathool (A)	2016	Bachelor	183
Carrathool (A)	2016	Graduate Diploma and Graduate Certificate	15
Carrathool (A)	2016	Postgraduate	20
Central Coast (C) (NSW)	2006		209676
Central Coast (C) (NSW)	2006	Certificate nfd	5076
Central Coast (C) (NSW)	2006	Certificate I and II Level	3131
Central Coast (C) (NSW)	2006	Certificate III and IV Level	41495
Central Coast (C) (NSW)	2006	Advanced Diploma and Diploma	16331
Central Coast (C) (NSW)	2006	Bachelor	17029
Central Coast (C) (NSW)	2006	Graduate Diploma and Graduate Certificate	2235
Central Coast (C) (NSW)	2006	Postgraduate	2984
Central Coast (C) (NSW)	2011		206147
Central Coast (C) (NSW)	2011	Certificate nfd	5284
Central Coast (C) (NSW)	2011	Certificate I and II Level	3776
Central Coast (C) (NSW)	2011	Certificate III and IV Level	48751
Central Coast (C) (NSW)	2011	Advanced Diploma and Diploma	19580
Central Coast (C) (NSW)	2011	Bachelor	21487
Central Coast (C) (NSW)	2011	Graduate Diploma and Graduate Certificate	2838
Central Coast (C) (NSW)	2011	Postgraduate	4319
Central Coast (C) (NSW)	2016		200533
Central Coast (C) (NSW)	2016	Certificate nfd	6888
Central Coast (C) (NSW)	2016	Certificate I and II Level	3687
Central Coast (C) (NSW)	2016	Certificate III and IV Level	54557
Central Coast (C) (NSW)	2016	Advanced Diploma and Diploma	24672
Central Coast (C) (NSW)	2016	Bachelor	27408
Central Coast (C) (NSW)	2016	Graduate Diploma and Graduate Certificate	3600
Central Coast (C) (NSW)	2016	Postgraduate	6391
Central Darling (A)	2006		1601
Central Darling (A)	2006	Certificate nfd	21
Central Darling (A)	2006	Certificate I and II Level	15
Central Darling (A)	2006	Certificate III and IV Level	142
Central Darling (A)	2006	Advanced Diploma and Diploma	58
Central Darling (A)	2006	Bachelor	82
Central Darling (A)	2006	Graduate Diploma and Graduate Certificate	13
Central Darling (A)	2006	Postgraduate	7
Central Darling (A)	2011		1583
Central Darling (A)	2011	Certificate nfd	19
Central Darling (A)	2011	Certificate I and II Level	32
Central Darling (A)	2011	Certificate III and IV Level	171
Central Darling (A)	2011	Advanced Diploma and Diploma	58
Central Darling (A)	2011	Bachelor	95
Central Darling (A)	2011	Graduate Diploma and Graduate Certificate	18
Central Darling (A)	2011	Postgraduate	16
Central Darling (A)	2016		1461
Central Darling (A)	2016	Certificate nfd	26
Central Darling (A)	2016	Certificate I and II Level	23
Central Darling (A)	2016	Certificate III and IV Level	165
Central Darling (A)	2016	Advanced Diploma and Diploma	71
Central Darling (A)	2016	Bachelor	62
Central Darling (A)	2016	Graduate Diploma and Graduate Certificate	12
Central Darling (A)	2016	Postgraduate	13
Cessnock (C)	2006		34646
Cessnock (C)	2006	Certificate nfd	617
Cessnock (C)	2006	Certificate I and II Level	532
Cessnock (C)	2006	Certificate III and IV Level	6846
Cessnock (C)	2006	Advanced Diploma and Diploma	1619
Cessnock (C)	2006	Bachelor	1556
Cessnock (C)	2006	Graduate Diploma and Graduate Certificate	208
Cessnock (C)	2006	Postgraduate	185
Cessnock (C)	2011		36183
Cessnock (C)	2011	Certificate nfd	675
Cessnock (C)	2011	Certificate I and II Level	628
Cessnock (C)	2011	Certificate III and IV Level	8632
Cessnock (C)	2011	Advanced Diploma and Diploma	2068
Cessnock (C)	2011	Bachelor	2112
Cessnock (C)	2011	Graduate Diploma and Graduate Certificate	257
Cessnock (C)	2011	Postgraduate	285
Cessnock (C)	2016		37480
Cessnock (C)	2016	Certificate nfd	980
Cessnock (C)	2016	Certificate I and II Level	779
Cessnock (C)	2016	Certificate III and IV Level	10224
Cessnock (C)	2016	Advanced Diploma and Diploma	2799
Cessnock (C)	2016	Bachelor	2485
Cessnock (C)	2016	Graduate Diploma and Graduate Certificate	347
Cessnock (C)	2016	Postgraduate	466
Clarence Valley (A)	2006		35576
Clarence Valley (A)	2006	Certificate nfd	719
Clarence Valley (A)	2006	Certificate I and II Level	598
Clarence Valley (A)	2006	Certificate III and IV Level	6470
Clarence Valley (A)	2006	Advanced Diploma and Diploma	1999
Clarence Valley (A)	2006	Bachelor	2144
Clarence Valley (A)	2006	Graduate Diploma and Graduate Certificate	353
Clarence Valley (A)	2006	Postgraduate	289
Clarence Valley (A)	2011		34544
Clarence Valley (A)	2011	Certificate nfd	839
Clarence Valley (A)	2011	Certificate I and II Level	695
Clarence Valley (A)	2011	Certificate III and IV Level	7802
Clarence Valley (A)	2011	Advanced Diploma and Diploma	2338
Clarence Valley (A)	2011	Bachelor	2626
Clarence Valley (A)	2011	Graduate Diploma and Graduate Certificate	416
Clarence Valley (A)	2011	Postgraduate	406
Clarence Valley (A)	2016		32957
Clarence Valley (A)	2016	Certificate nfd	1160
Clarence Valley (A)	2016	Certificate I and II Level	664
Clarence Valley (A)	2016	Certificate III and IV Level	8671
Clarence Valley (A)	2016	Advanced Diploma and Diploma	3011
Clarence Valley (A)	2016	Bachelor	3129
Clarence Valley (A)	2016	Graduate Diploma and Graduate Certificate	504
Clarence Valley (A)	2016	Postgraduate	575
Cobar (A)	2006		3777
Cobar (A)	2006	Certificate nfd	43
Cobar (A)	2006	Certificate I and II Level	40
Cobar (A)	2006	Certificate III and IV Level	681
Cobar (A)	2006	Advanced Diploma and Diploma	120
Cobar (A)	2006	Bachelor	216
Cobar (A)	2006	Graduate Diploma and Graduate Certificate	19
Cobar (A)	2006	Postgraduate	19
Cobar (A)	2011		3478
Cobar (A)	2011	Certificate nfd	37
Cobar (A)	2011	Certificate I and II Level	45
Cobar (A)	2011	Certificate III and IV Level	743
Cobar (A)	2011	Advanced Diploma and Diploma	133
Cobar (A)	2011	Bachelor	227
Cobar (A)	2011	Graduate Diploma and Graduate Certificate	19
Cobar (A)	2011	Postgraduate	31
Cobar (A)	2016		3280
Cobar (A)	2016	Certificate nfd	50
Cobar (A)	2016	Certificate I and II Level	55
Cobar (A)	2016	Certificate III and IV Level	753
Cobar (A)	2016	Advanced Diploma and Diploma	175
Cobar (A)	2016	Bachelor	248
Cobar (A)	2016	Graduate Diploma and Graduate Certificate	33
Cobar (A)	2016	Postgraduate	53
Coffs Harbour (C)	2006		45284
Coffs Harbour (C)	2006	Certificate nfd	1069
Coffs Harbour (C)	2006	Certificate I and II Level	818
Coffs Harbour (C)	2006	Certificate III and IV Level	8927
Coffs Harbour (C)	2006	Advanced Diploma and Diploma	3544
Coffs Harbour (C)	2006	Bachelor	4086
Coffs Harbour (C)	2006	Graduate Diploma and Graduate Certificate	588
Coffs Harbour (C)	2006	Postgraduate	597
Coffs Harbour (C)	2011		44478
Coffs Harbour (C)	2011	Certificate nfd	1102
Coffs Harbour (C)	2011	Certificate I and II Level	950
Coffs Harbour (C)	2011	Certificate III and IV Level	10668
Coffs Harbour (C)	2011	Advanced Diploma and Diploma	4213
Coffs Harbour (C)	2011	Bachelor	5433
Coffs Harbour (C)	2011	Graduate Diploma and Graduate Certificate	663
Coffs Harbour (C)	2011	Postgraduate	907
Coffs Harbour (C)	2016		44452
Coffs Harbour (C)	2016	Certificate nfd	1519
Coffs Harbour (C)	2016	Certificate I and II Level	1021
Coffs Harbour (C)	2016	Certificate III and IV Level	11703
Coffs Harbour (C)	2016	Advanced Diploma and Diploma	5433
Coffs Harbour (C)	2016	Bachelor	6628
Coffs Harbour (C)	2016	Graduate Diploma and Graduate Certificate	938
Coffs Harbour (C)	2016	Postgraduate	1250
Coolamon (A)	2006		3130
Coolamon (A)	2006	Certificate nfd	42
Coolamon (A)	2006	Certificate I and II Level	40
Coolamon (A)	2006	Certificate III and IV Level	441
Coolamon (A)	2006	Advanced Diploma and Diploma	126
Coolamon (A)	2006	Bachelor	203
Coolamon (A)	2006	Graduate Diploma and Graduate Certificate	26
Coolamon (A)	2006	Postgraduate	24
Coolamon (A)	2011		3025
Coolamon (A)	2011	Certificate nfd	40
Coolamon (A)	2011	Certificate I and II Level	47
Coolamon (A)	2011	Certificate III and IV Level	500
Coolamon (A)	2011	Advanced Diploma and Diploma	176
Coolamon (A)	2011	Bachelor	239
Coolamon (A)	2011	Graduate Diploma and Graduate Certificate	32
Coolamon (A)	2011	Postgraduate	41
Coolamon (A)	2016		2959
Coolamon (A)	2016	Certificate nfd	85
Coolamon (A)	2016	Certificate I and II Level	53
Coolamon (A)	2016	Certificate III and IV Level	643
Coolamon (A)	2016	Advanced Diploma and Diploma	225
Coolamon (A)	2016	Bachelor	268
Coolamon (A)	2016	Graduate Diploma and Graduate Certificate	35
Coolamon (A)	2016	Postgraduate	47
Coonamble (A)	2006		3395
Coonamble (A)	2006	Certificate nfd	42
Coonamble (A)	2006	Certificate I and II Level	48
Coonamble (A)	2006	Certificate III and IV Level	358
Coonamble (A)	2006	Advanced Diploma and Diploma	144
Coonamble (A)	2006	Bachelor	176
Coonamble (A)	2006	Graduate Diploma and Graduate Certificate	28
Coonamble (A)	2006	Postgraduate	21
Coonamble (A)	2011		3161
Coonamble (A)	2011	Certificate nfd	49
Coonamble (A)	2011	Certificate I and II Level	43
Coonamble (A)	2011	Certificate III and IV Level	404
Coonamble (A)	2011	Advanced Diploma and Diploma	159
Coonamble (A)	2011	Bachelor	172
Coonamble (A)	2011	Graduate Diploma and Graduate Certificate	22
Coonamble (A)	2011	Postgraduate	21
Coonamble (A)	2016		2986
Coonamble (A)	2016	Certificate nfd	49
Coonamble (A)	2016	Certificate I and II Level	47
Coonamble (A)	2016	Certificate III and IV Level	439
Coonamble (A)	2016	Advanced Diploma and Diploma	157
Coonamble (A)	2016	Bachelor	193
Coonamble (A)	2016	Graduate Diploma and Graduate Certificate	19
Coonamble (A)	2016	Postgraduate	28
Cowra (A)	2006		9490
Cowra (A)	2006	Certificate nfd	147
Cowra (A)	2006	Certificate I and II Level	136
Cowra (A)	2006	Certificate III and IV Level	1470
Cowra (A)	2006	Advanced Diploma and Diploma	487
Cowra (A)	2006	Bachelor	580
Cowra (A)	2006	Graduate Diploma and Graduate Certificate	92
Cowra (A)	2006	Postgraduate	76
Cowra (A)	2011		8841
Cowra (A)	2011	Certificate nfd	178
Cowra (A)	2011	Certificate I and II Level	148
Cowra (A)	2011	Certificate III and IV Level	1652
Cowra (A)	2011	Advanced Diploma and Diploma	579
Cowra (A)	2011	Bachelor	605
Cowra (A)	2011	Graduate Diploma and Graduate Certificate	79
Cowra (A)	2011	Postgraduate	64
Cowra (A)	2016		8527
Cowra (A)	2016	Certificate nfd	232
Cowra (A)	2016	Certificate I and II Level	169
Cowra (A)	2016	Certificate III and IV Level	1944
Cowra (A)	2016	Advanced Diploma and Diploma	665
Cowra (A)	2016	Bachelor	727
Cowra (A)	2016	Graduate Diploma and Graduate Certificate	97
Cowra (A)	2016	Postgraduate	99
Cumberland (A)	2006		129249
Cumberland (A)	2006	Certificate nfd	2021
Cumberland (A)	2006	Certificate I and II Level	1521
Cumberland (A)	2006	Certificate III and IV Level	14361
Cumberland (A)	2006	Advanced Diploma and Diploma	8806
Cumberland (A)	2006	Bachelor	13779
Cumberland (A)	2006	Graduate Diploma and Graduate Certificate	839
Cumberland (A)	2006	Postgraduate	3548
Cumberland (A)	2011		133919
Cumberland (A)	2011	Certificate nfd	2065
Cumberland (A)	2011	Certificate I and II Level	1608
Cumberland (A)	2011	Certificate III and IV Level	16156
Cumberland (A)	2011	Advanced Diploma and Diploma	12179
Cumberland (A)	2011	Bachelor	19273
Cumberland (A)	2011	Graduate Diploma and Graduate Certificate	1272
Cumberland (A)	2011	Postgraduate	6752
Cumberland (A)	2016		142312
Cumberland (A)	2016	Certificate nfd	2897
Cumberland (A)	2016	Certificate I and II Level	1481
Cumberland (A)	2016	Certificate III and IV Level	16780
Cumberland (A)	2016	Advanced Diploma and Diploma	14553
Cumberland (A)	2016	Bachelor	26260
Cumberland (A)	2016	Graduate Diploma and Graduate Certificate	1721
Cumberland (A)	2016	Postgraduate	10075
Dungog (A)	2006		5676
Dungog (A)	2006	Certificate nfd	120
Dungog (A)	2006	Certificate I and II Level	82
Dungog (A)	2006	Certificate III and IV Level	1150
Dungog (A)	2006	Advanced Diploma and Diploma	412
Dungog (A)	2006	Bachelor	465
Dungog (A)	2006	Graduate Diploma and Graduate Certificate	71
Dungog (A)	2006	Postgraduate	84
Dungog (A)	2011		5477
Dungog (A)	2011	Certificate nfd	134
Dungog (A)	2011	Certificate I and II Level	79
Dungog (A)	2011	Certificate III and IV Level	1392
Dungog (A)	2011	Advanced Diploma and Diploma	504
Dungog (A)	2011	Bachelor	552
Dungog (A)	2011	Graduate Diploma and Graduate Certificate	78
Dungog (A)	2011	Postgraduate	101
Dungog (A)	2016		5543
Dungog (A)	2016	Certificate nfd	182
Dungog (A)	2016	Certificate I and II Level	98
Dungog (A)	2016	Certificate III and IV Level	1603
Dungog (A)	2016	Advanced Diploma and Diploma	666
Dungog (A)	2016	Bachelor	650
Dungog (A)	2016	Graduate Diploma and Graduate Certificate	97
Dungog (A)	2016	Postgraduate	136
Edward River (A)	2006		6802
Edward River (A)	2006	Certificate nfd	117
Edward River (A)	2006	Certificate I and II Level	89
Edward River (A)	2006	Certificate III and IV Level	1141
Edward River (A)	2006	Advanced Diploma and Diploma	415
Edward River (A)	2006	Bachelor	447
Edward River (A)	2006	Graduate Diploma and Graduate Certificate	53
Edward River (A)	2006	Postgraduate	46
Edward River (A)	2011		6175
Edward River (A)	2011	Certificate nfd	114
Edward River (A)	2011	Certificate I and II Level	86
Edward River (A)	2011	Certificate III and IV Level	1233
Edward River (A)	2011	Advanced Diploma and Diploma	436
Edward River (A)	2011	Bachelor	486
Edward River (A)	2011	Graduate Diploma and Graduate Certificate	68
Edward River (A)	2011	Postgraduate	61
Edward River (A)	2016		6044
Edward River (A)	2016	Certificate nfd	140
Edward River (A)	2016	Certificate I and II Level	98
Edward River (A)	2016	Certificate III and IV Level	1330
Edward River (A)	2016	Advanced Diploma and Diploma	504
Edward River (A)	2016	Bachelor	560
Edward River (A)	2016	Graduate Diploma and Graduate Certificate	85
Edward River (A)	2016	Postgraduate	90
Eurobodalla (A)	2006		24302
Eurobodalla (A)	2006	Certificate nfd	557
Eurobodalla (A)	2006	Certificate I and II Level	360
Eurobodalla (A)	2006	Certificate III and IV Level	5252
Eurobodalla (A)	2006	Advanced Diploma and Diploma	1825
Eurobodalla (A)	2006	Bachelor	2068
Eurobodalla (A)	2006	Graduate Diploma and Graduate Certificate	328
Eurobodalla (A)	2006	Postgraduate	321
Eurobodalla (A)	2011		23247
Eurobodalla (A)	2011	Certificate nfd	574
Eurobodalla (A)	2011	Certificate I and II Level	429
Eurobodalla (A)	2011	Certificate III and IV Level	5923
Eurobodalla (A)	2011	Advanced Diploma and Diploma	2138
Eurobodalla (A)	2011	Bachelor	2449
Eurobodalla (A)	2011	Graduate Diploma and Graduate Certificate	478
Eurobodalla (A)	2011	Postgraduate	501
Eurobodalla (A)	2016		22472
Eurobodalla (A)	2016	Certificate nfd	901
Eurobodalla (A)	2016	Certificate I and II Level	440
Eurobodalla (A)	2016	Certificate III and IV Level	6483
Eurobodalla (A)	2016	Advanced Diploma and Diploma	2660
Eurobodalla (A)	2016	Bachelor	2948
Eurobodalla (A)	2016	Graduate Diploma and Graduate Certificate	617
Eurobodalla (A)	2016	Postgraduate	711
Fairfield (C)	2006		143788
Fairfield (C)	2006	Certificate nfd	2071
Fairfield (C)	2006	Certificate I and II Level	1541
Fairfield (C)	2006	Certificate III and IV Level	14391
Fairfield (C)	2006	Advanced Diploma and Diploma	7516
Fairfield (C)	2006	Bachelor	9246
Fairfield (C)	2006	Graduate Diploma and Graduate Certificate	425
Fairfield (C)	2006	Postgraduate	914
Fairfield (C)	2011		144719
Fairfield (C)	2011	Certificate nfd	2049
Fairfield (C)	2011	Certificate I and II Level	1716
Fairfield (C)	2011	Certificate III and IV Level	16070
Fairfield (C)	2011	Advanced Diploma and Diploma	9382
Fairfield (C)	2011	Bachelor	11673
Fairfield (C)	2011	Graduate Diploma and Graduate Certificate	536
Fairfield (C)	2011	Postgraduate	1621
Fairfield (C)	2016		147138
Fairfield (C)	2016	Certificate nfd	2844
Fairfield (C)	2016	Certificate I and II Level	1725
Fairfield (C)	2016	Certificate III and IV Level	17364
Fairfield (C)	2016	Advanced Diploma and Diploma	11534
Fairfield (C)	2016	Bachelor	14810
Fairfield (C)	2016	Graduate Diploma and Graduate Certificate	782
Fairfield (C)	2016	Postgraduate	2620
Federation (A)	2006		9192
Federation (A)	2006	Certificate nfd	112
Federation (A)	2006	Certificate I and II Level	128
Federation (A)	2006	Certificate III and IV Level	1741
Federation (A)	2006	Advanced Diploma and Diploma	447
Federation (A)	2006	Bachelor	487
Federation (A)	2006	Graduate Diploma and Graduate Certificate	79
Federation (A)	2006	Postgraduate	50
Federation (A)	2011		8629
Federation (A)	2011	Certificate nfd	143
Federation (A)	2011	Certificate I and II Level	139
Federation (A)	2011	Certificate III and IV Level	1972
Federation (A)	2011	Advanced Diploma and Diploma	524
Federation (A)	2011	Bachelor	586
Federation (A)	2011	Graduate Diploma and Graduate Certificate	82
Federation (A)	2011	Postgraduate	81
Federation (A)	2016		8344
Federation (A)	2016	Certificate nfd	215
Federation (A)	2016	Certificate I and II Level	146
Federation (A)	2016	Certificate III and IV Level	2028
Federation (A)	2016	Advanced Diploma and Diploma	683
Federation (A)	2016	Bachelor	654
Federation (A)	2016	Graduate Diploma and Graduate Certificate	107
Federation (A)	2016	Postgraduate	100
Forbes (A)	2006		7137
Forbes (A)	2006	Certificate nfd	130
Forbes (A)	2006	Certificate I and II Level	103
Forbes (A)	2006	Certificate III and IV Level	1083
Forbes (A)	2006	Advanced Diploma and Diploma	360
Forbes (A)	2006	Bachelor	434
Forbes (A)	2006	Graduate Diploma and Graduate Certificate	69
Forbes (A)	2006	Postgraduate	45
Forbes (A)	2011		6565
Forbes (A)	2011	Certificate nfd	129
Forbes (A)	2011	Certificate I and II Level	118
Forbes (A)	2011	Certificate III and IV Level	1321
Forbes (A)	2011	Advanced Diploma and Diploma	404
Forbes (A)	2011	Bachelor	513
Forbes (A)	2011	Graduate Diploma and Graduate Certificate	63
Forbes (A)	2011	Postgraduate	56
Forbes (A)	2016		6619
Forbes (A)	2016	Certificate nfd	173
Forbes (A)	2016	Certificate I and II Level	131
Forbes (A)	2016	Certificate III and IV Level	1392
Forbes (A)	2016	Advanced Diploma and Diploma	513
Forbes (A)	2016	Bachelor	588
Forbes (A)	2016	Graduate Diploma and Graduate Certificate	79
Forbes (A)	2016	Postgraduate	92
Georges River (A)	2006		80816
Georges River (A)	2006	Certificate nfd	2117
Georges River (A)	2006	Certificate I and II Level	973
Georges River (A)	2006	Certificate III and IV Level	11866
Georges River (A)	2006	Advanced Diploma and Diploma	9018
Georges River (A)	2006	Bachelor	15497
Georges River (A)	2006	Graduate Diploma and Graduate Certificate	1239
Georges River (A)	2006	Postgraduate	4737
Georges River (A)	2011		79916
Georges River (A)	2011	Certificate nfd	1897
Georges River (A)	2011	Certificate I and II Level	1024
Georges River (A)	2011	Certificate III and IV Level	12411
Georges River (A)	2011	Advanced Diploma and Diploma	10783
Georges River (A)	2011	Bachelor	19893
