SA3_NAME16	Year	Sex	employmentToPopulation
Banyule	2016	F	54.9
Banyule	2016	M	63.4
Darebin - North	2006	F	42.1
Darebin - North	2006	M	53.7
Darebin - North	2011	F	46.1
Darebin - North	2011	M	56.8
Darebin - North	2016	F	48.7
Darebin - North	2016	M	57
Nillumbik - Kinglake	2006	F	64.4
Nillumbik - Kinglake	2006	M	74.7
Nillumbik - Kinglake	2011	F	64.1
Nillumbik - Kinglake	2011	M	73.8
Nillumbik - Kinglake	2016	F	62.4
Nillumbik - Kinglake	2016	M	69.4
Whittlesea - Wallan	2006	F	50
Whittlesea - Wallan	2006	M	64.7
Whittlesea - Wallan	2011	F	52.4
Whittlesea - Wallan	2011	M	65.3
